Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability per pair and bandwidth,2,200.0Gbps,7,14, ,0.4635416666666667,0.3854166666666667,0.42653061224489797,0.45709281961471104,0.47153024911032027,0.4358523725834798,0.475,0.4910071942446043,0.35581787521079256,0.4713493530499076
Blocking probability per pair and bandwidth,2,200.0Gbps,11,13, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,1,11, ,0.25951557093425603,0.2638146167557932,0.26631393298059963,0.19597069597069597,0.20309477756286268,0.269811320754717,0.24682395644283123,0.2333965844402277,0.2676864244741874,0.324468085106383
Blocking probability per pair and bandwidth,2,200.0Gbps,6,8, ,0.24535315985130113,0.39191564147627417,0.391304347826087,0.30335097001763667,0.2849557522123894,0.3,0.2912801484230056,0.34944237918215615,0.3188405797101449,0.3163444639718805
Blocking probability per pair and bandwidth,2,200.0Gbps,7,12, ,0.5658627087198516,0.589605734767025,0.6075949367088608,0.6015037593984962,0.634469696969697,0.5860805860805861,0.6348920863309353,0.6469565217391304,0.6214689265536724,0.6190476190476191
Blocking probability per pair and bandwidth,2,200.0Gbps,12,14, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,9,5, ,0.3016453382084095,0.4150268336314848,0.4111111111111111,0.4187725631768953,0.44212523719165087,0.30842911877394635,0.3403441682600382,0.43947858472998136,0.29874776386404295,0.38632162661737524
Blocking probability per pair and bandwidth,2,200.0Gbps,4,3, ,0.0,0.006779661016949152,0.0,0.001838235294117647,0.0017825311942959,0.004893964110929853,0.0018450184501845018,0.0017667844522968198,0.005208333333333333,0.0019230769230769232
Blocking probability per pair and bandwidth,2,200.0Gbps,7,9, ,0.14931237721021612,0.1170018281535649,0.11670020120724346,0.09694793536804308,0.1493624772313297,0.10369068541300527,0.10051993067590988,0.166351606805293,0.07550644567219153,0.1265164644714038
Blocking probability per pair and bandwidth,2,200.0Gbps,11,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,9,14, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,6,1, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,10,1, ,0.4252252252252252,0.4691358024691358,0.46195652173913043,0.44360902255639095,0.4283185840707965,0.3951612903225806,0.5009560229445507,0.42178217821782177,0.43087971274685816,0.45072992700729925
Blocking probability per pair and bandwidth,2,200.0Gbps,14,1, ,0.4665492957746479,0.4055045871559633,0.46748681898066785,0.48073022312373226,0.491395793499044,0.42829827915869984,0.5,0.49264705882352944,0.43866171003717475,0.47654784240150094
Blocking probability per pair and bandwidth,2,200.0Gbps,1,8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,2,11, ,0.10588235294117647,0.14933837429111532,0.14954954954954955,0.10600706713780919,0.0766488413547237,0.14257425742574256,0.11648745519713262,0.11804384485666104,0.18197573656845753,0.1317157712305026
Blocking probability per pair and bandwidth,2,200.0Gbps,2,12, ,0.3296903460837887,0.40808823529411764,0.3463587921847247,0.34501845018450183,0.376865671641791,0.42286751361161523,0.3537037037037037,0.34806629834254144,0.3770491803278688,0.3587360594795539
Blocking probability per pair and bandwidth,2,200.0Gbps,1,5, ,0.08503401360544217,0.0743362831858407,0.06643356643356643,0.04007633587786259,0.026022304832713755,0.034482758620689655,0.06438631790744467,0.04553415061295972,0.06910569105691057,0.016885553470919325
Blocking probability per pair and bandwidth,2,200.0Gbps,9,8, ,0.0016863406408094434,0.0,0.0016611295681063123,0.0,0.0,0.0,0.0,0.0,0.0,0.0018281535648994515
Blocking probability per pair and bandwidth,2,200.0Gbps,8,4, ,0.0,0.005504587155963303,0.0,0.0,0.01607142857142857,0.007707129094412331,0.00505902192242833,0.001893939393939394,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,13,14, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,5,12, ,0.7559633027522936,0.7148014440433214,0.7275922671353251,0.7481884057971014,0.7014134275618374,0.749034749034749,0.7777777777777778,0.7603603603603604,0.7791519434628975,0.7411347517730497
Blocking probability per pair and bandwidth,2,200.0Gbps,7,4, ,0.0,0.0017482517482517483,0.0,0.0,0.0018867924528301887,0.0017761989342806395,0.0,0.0017574692442882249,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,4,13, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,13,12, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair and bandwidth,2,200.0Gbps,11,2, ,0.17712177121771217,0.2254335260115607,0.12972972972972974,0.13357400722021662,0.1224105461393597,0.08143939393939394,0.15129151291512916,0.1410488245931284,0.13011152416356878,0.10387323943661972
Blocking probability per pair and bandwidth,2,200.0Gbps,12,8, ,0.14168377823408623,0.10358565737051793,0.1243432574430823,0.13468013468013468,0.11900532859680284,0.11359724612736662,0.10526315789473684,0.09696969696969697,0.11194029850746269,0.16261682242990655
Blocking probability per pair and bandwidth,2,200.0Gbps,14,10, ,0.02882882882882883,0.037300177619893425,0.011538461538461539,0.0176678445229682,0.02992957746478873,0.012658227848101266,0.05281090289608177,0.035842293906810034,0.03102189781021898,0.01838235294117647
Blocking probability per pair and bandwidth,2,200.0Gbps,2,9, ,0.6973684210526315,0.7091932457786116,0.7062146892655368,0.7388781431334622,0.7655172413793103,0.7663230240549829,0.7289377289377289,0.7677100494233937,0.7414448669201521,0.7473867595818815
Blocking probability per pair and bandwidth,2,200.0Gbps,9,10, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
