Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Blocking probability per pair,2,all,5,6, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,2,all,8,2, ,0.9750479846449136,0.9879725085910653,0.9781144781144782,0.9874776386404294,0.9701754385964912,0.9850187265917603,0.9871559633027523,0.9861660079051383,0.980544747081712,0.9908424908424909
Blocking probability per pair,2,all,1,10, ,0.933572710951526,0.9379432624113475,0.9219858156028369,0.9474671669793621,0.9219600725952813,0.9250936329588015,0.936247723132969,0.9155722326454033,0.9244288224956063,0.9314586994727593
Blocking probability per pair,2,all,1,14, ,0.9592833876221498,0.9392789373814042,0.9413919413919414,0.9509433962264151,0.9565972222222222,0.9557522123893806,0.9300970873786408,0.9620493358633776,0.9222972972972973,0.9576427255985267
Blocking probability per pair,2,all,9,11, ,0.023529411764705882,0.011627906976744186,0.016728624535315983,0.024179620034542316,0.010507880910683012,0.015037593984962405,0.017475728155339806,0.015957446808510637,0.019642857142857142,0.024
Blocking probability per pair,2,all,7,8, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,2,all,8,11, ,0.7471910112359551,0.7635726795096323,0.7477638640429338,0.7471698113207547,0.7647058823529411,0.7491166077738516,0.7834507042253521,0.7677642980935875,0.8259325044404974,0.7613019891500904
Blocking probability per pair,2,all,11,6, ,0.2574626865671642,0.22759856630824374,0.24953445065176907,0.30158730158730157,0.31645569620253167,0.27319587628865977,0.2167577413479053,0.3466666666666667,0.2894736842105263,0.2616279069767442
Blocking probability per pair,2,all,13,7, ,0.710172744721689,0.74573055028463,0.7192660550458716,0.7177700348432056,0.7295719844357976,0.6935483870967742,0.7158081705150977,0.6955017301038062,0.725,0.6908127208480566
Blocking probability per pair,2,all,11,1, ,0.7621621621621621,0.7715827338129496,0.8097087378640777,0.7394366197183099,0.7956600361663653,0.7495462794918331,0.7765765765765765,0.7869415807560137,0.7837837837837838,0.7810760667903525
Blocking probability per pair,2,all,3,9, ,0.7882562277580071,0.7657992565055762,0.8140417457305503,0.8245033112582781,0.825426944971537,0.8225806451612904,0.8094405594405595,0.8173598553345389,0.7926186291739895,0.7920433996383364
Blocking probability per pair,2,all,10,9, ,0.001834862385321101,0.0017730496453900709,0.0,0.0,0.0018796992481203006,0.0017421602787456446,0.0,0.005110732538330494,0.0018018018018018018,0.005649717514124294
Blocking probability per pair,2,all,8,7, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blocking probability per pair,2,all,10,3, ,0.3570127504553734,0.34574468085106386,0.36379310344827587,0.26229508196721313,0.2846715328467153,0.23837209302325582,0.37725631768953066,0.25432525951557095,0.34408602150537637,0.35135135135135137
Blocking probability per pair,2,all,11,8, ,0.7790697674418605,0.7157712305025996,0.7552447552447552,0.7708737864077669,0.8155893536121673,0.7476979742173112,0.8006993006993007,0.7738095238095238,0.7401709401709402,0.8172043010752689
Blocking probability per pair,2,all,5,8, ,0.22831858407079647,0.172,0.17689530685920576,0.23716814159292035,0.266304347826087,0.2580101180438449,0.24448529411764705,0.23593466424682397,0.23465703971119134,0.1889483065953654
Blocking probability per pair,2,all,9,4, ,0.7709790209790209,0.7709923664122137,0.7612456747404844,0.7942857142857143,0.8387096774193549,0.8056013179571664,0.8180212014134276,0.7955706984667802,0.8271604938271605,0.8007518796992481
Blocking probability per pair,2,all,13,1, ,0.7439703153988868,0.7277777777777777,0.7193605683836589,0.7877094972067039,0.7119266055045872,0.7254237288135593,0.7410714285714286,0.7047619047619048,0.7295825771324864,0.7481343283582089
Blocking probability per pair,2,all,6,13, ,0.050724637681159424,0.04797047970479705,0.052734375,0.05671077504725898,0.059149722735674676,0.06118881118881119,0.06666666666666667,0.06839186691312385,0.06792452830188679,0.0674955595026643
Blocking probability per pair,2,all,3,13, ,0.7746212121212122,0.7455516014234875,0.7673611111111112,0.7509157509157509,0.7297297297297297,0.7649325626204239,0.7624113475177305,0.720532319391635,0.7290448343079922,0.7486136783733827
Blocking probability per pair,2,all,5,7, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
